id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
debc76f3-6b33,2C3CDZBT5KH583519,34495,14306,KH583519,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,autonation chevrolet south corpus christi,6650 S. Padre Island Drive,Corpus Christi,TX,78412
e29eb2a4-4a2f,2C3CDZBT6FH703785,27848,58527,SJ210895-1,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,bmw of el cajon,720 El Cajon Blvd,El Cajon,CA,92020
ff150009-ae36,2C3CDZBTXKH583158,,47438,25111,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,quantum auto sales - escondido,728 N. Escondido Blvd,Escondido,CA,92025
6093edd3-32ce,2C3CDZAT6FH873565,27991,36858,FH873565,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,advantage bmw of clear lake,400 Gulf Fwy S,League City,TX,77573
101f331c-9fad,2C3CDZBT9HH542674,33962,26529,MW678584A,2017,Dodge,Challenger,T/A,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,gill automotive group,2266 Kitty Hawk Road,Livermore,CA,94551
73ecdeb7-0bcc,2C3CDZBT0KH708457,32993,24167,W129942A,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,hennessy automobile companies,3393 Old Norcross Road Northwest,Duluth,GA,30096
3678d8e7-5c68,2C3CDZBT7JH310595,,23369,729099A,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,champion chrysler jeep dodge ram fiat,9655 Firestone Blvd,Downey,CA,90241
6270643e-fb27,2C3CDZBT0KH606432,30990,20999,P3567,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,dutro nissan,131 South 5th St,Zanesville,OH,43701
4c4ae69b-e703,2C3CDYBTXEH276989,29933,33348,DLF210919A,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,buffalo cars,,Buffalo,NY,14201
d12daf1a-dd31,2C3CDYBT8DH535865,,115548,51T8486A,2013,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,jeff wyler chrysler jeep dodge of lawrenceburg,875 E Eads Pkwy,Lawrenceburg,IN,47025
ea1ea318-666c,2C3CDZBT3HH519178,26995,48726,L9154,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,action auto utah,170 West State Road,Lehi,UT,84043
9c1f0b89-ab2b,2C3CDYBT4EH139921,29065,40295,EH139921,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,faulkner chrysler dodge jeep ram fiat,6643 Carlisle Pike,Mechanicsburg,PA,17050
ae571817-7ca6,2C3CDYBT8DH741901,24995,41485,2021984B,2013,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,asheville ford,611 Brevard Rd.,Asheville,NC,28806
af5becfd-e7c0,2C3CDZAT8FH737065,31777,10879,,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,stg auto group of bellflower,8625 Artesia Boulevard,Bellflower,CA,90706
40abc88b-2d60,2C3CDZBTXJH131127,30138,62819,JH131127,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,vaden automotive,9393 Abercorn Street,Savannah,GA,31406
ab8d01f4-fe64,2C3CDZBT1JH333788,33524,38282,JH333788,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,nyle maxwell alfa romeo,13049researchboulevard,Austin,TX,78750
1fd3313d-601b,2C3CDZBT5HH554434,33887,14393,PP1224A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,herrnstein chrysler dodge jeep ram fiat,133 Marietta Road,Chillicothe,OH,45601
c00670e5-b945,2C3CDYBTXEH153080,25999,70161,PV3575,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,hendrick volvo cars of charleston,1464 Savannah Highway,Charleston,SC,29407
e0cd3840-16b0,2C3CDYBTXEH153080,25999,70161,PV3575,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,hendrick bmw,6950 E Independence Blvd,Charlotte,NC,28227
c411414e-b08a,2C3CDZBT2JH333220,32500,2301,A20T1227,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,academy cdjr,6002 W. Field Dr,Tipton,IN,46072
842cb881-3daa,2C3CDZBTXKH596458,34995,679,190208,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,milford chrysler sales inc,500 Routes 6 209,Milford,PA,18337
4795a8cd-8136,2C3CDZBTXHH514611,31871,43001,AU27784,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,action nissan,307 Thompson Lane,Nashville,TN,37211
48df1049-7e8a,2C3CDYBT8EH294598,,44336,5800P,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,thurston toyota,2800 North State Street,Ukiah,CA,95482
c611fe1f-32d4,2C3CDZBT1JH259885,32590,7339,2000929234,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,carvana kansas city,2183 Hebron Rd,Heath,OH,43056
4a982280-1d5a,2C3CDZBTXJH219515,36991,18813,M31239A,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,hendrick motors of charlotte,5201 E. Independence Blvd,Charlotte,NC,28212
c94bf632-3439,2C3CDYBT3EH236088,21995,94719,EH236088A,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,toyota direct,4248 Morse Rd,Columbus,OH,43230
e9eb2de1-481f,2C3CDZAT5FH788328,,43809,1206326B,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,haley automall,1906 S Main Street,Farmville,VA,23901
851e3059-e1b4,2C3CDZBTXJH219515,36991,18813,M31239A,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,rick hendrick chevrolet,1500 Savannah Hwy,Charleston,SC,29407
5d392f21-1c11,2C3CDZBT8KH750374,33493,16116,KH750374,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,fayetteville kia,2012 Skibo Rd,Fayetteville,NC,28314
151a7e39-aebb,2C3CDZBT3FH719247,29371,47386,J57501,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,dealin doug dealerships,2000 W 104th Ave,Denver,CO,80234
8472d049-4c1c,2C3CDZBT6JH146496,38000,16708,JH146496,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,tacoma nissan,4030 S Tacoma Way,Tacoma,WA,98409
30ab8bdb-9dce,2C3CDZBT2HH611396,32981,31594,3012194P,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,john elway's claremont chrysler dodge jeep ram,620 Auto Center Dr,Claremont,CA,91711
a6940bac-4449,2C3CDZBT8JH228195,33992,20301,PJ1683,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,ron tonkin chevrolet,122 Ne 122nd Ave,Portland,OR,97230
00253867-66bb,2B3CJ5DT0AH120939,15912,,9843P,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,patterson chrysler dodge jeep ram- tyler,3120 South Southwest Loop 323,Tyler,TX,75701
c58f477e-df8b,2C3CDZBT5LH139090,,19813,1089,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,champion auto hillside,22 Doremus Pl,Hillside,NJ,07205
1d51e963-0478,2C3CDZBT1LH138499,,10942,1153,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,champion auto hillside,22 Doremus Pl,Hillside,NJ,07205
e226e6aa-7577,2C3CDYBT3CH173927,,88035,ID 3541858,2012,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,jp motors llc,1305 W. Highway 83,Pharr,TX,78577
13b907aa-a46a,2C3CDZBT2JH270815,29495,39060,215540A,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,libertyville chevrolet,1001 S Milwaukee Ave,Libertyville,IL,60048
edb4c594-e143,2C3CDYBT2EH313324,26995,39665,P29454,2014,Dodge,Challenger,R/T Classic,Coupe,Car,RWD,Manual,Unleaded,5.7,V,hyman bros. mazda,12602 Jefferson Avenue,Newport News,VA,23602
a2b93b02-cad5,2C3CDZBTXHH648860,28500,61810,2105353A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,al serra chrysler dodge jeep ram,6185 S Saginaw Rd,Grand Blanc,MI,48439
7341a102-a045,2C3CDZBT4LH124631,35560,22563,QP01187,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,kunes country hyundai of quincy,207 N 36th Street,Quincy,IL,62301
db24d1aa-1c83,2C3CDZBT0LH142690,35998,29404,P3953,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,honda of concord,7650 Bruton Smith Blvd,Concord,NC,28027
6138c3ee-4181,2C3CDZBTXKH747749,39586,19943,C749,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,gillie hyde ford lincoln inc.,610 Happy Valley Road,Glasgow,KY,42141
3f21962e-f846,2C3CDZAT5FH788328,29488,43809,1206326B,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,haley toyota of roanoke,1530 Courtland Rd Ne,Roanoke,VA,24012
d7ac647c-abc0,2C3CDZBT1KH661519,40800,8606,C21W1276,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,stew hansen chrysler dodge jeep ram fiat,12103 Hickman Rd.,Urbandale,IA,50323
2cfea5ce-9355,2C3CDZBT1JH218558,40998,16681,S44218A,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,herb chambers honda in boston,720 Morrissey Boulevard,Boston,MA,02122
d2bccb56-8d3c,2B3CJ5DT7AH281823,,84385,281823,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,top shelf automotives inc,1349 Laurel Street,San Carlos,CA,94070
dcae879a-5761,2C3CDZBT0GH157745,29890,47958,CT21065B,2016,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,team chevrolet of swansboro,1435 W Corbett Ave,Swansboro,NC,28584
3e0fa60d-0456,2C3CDZBT5JH259923,37300,29541,81875A,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,wally armour chrysler dodge jeep ram,1950 West State St,Alliance,OH,44601
0c55429b-71eb,2C3CDZBT0JH318117,32999,16662,AH318117,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,mike bock powered by auto house,1941 E 3rd St.,Tempe,AZ,85281
508aaf69-e81a,2C3CDZBT9KH739853,40995,2369,8810P,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,crystal ford,2440 Nw Highway 19,Crystal River,FL,34428
73cbd5d8-2d47,2C3CDZAT0FH713259,24997,107056,C121855A,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,serra chevrolet,1170 Center Point Parkway,Birmingham,AL,35215
ae49132c-3adc,2C3CDZBT3LH152548,43350,1171,D557666A,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,fitzgerald cadillac of annapolis,34 Hudson St,Annapolis,MD,21401
f2662b9f-4177,2C3CDYBT1DH541782,23875,76323,13058,2013,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Unleaded,5.7,V,corona motors,1502 West Holt Blvd.,West Roxbury,MA,02132
135b0799-2d87,2B3CJ5DT8AH179950,64995,4535,PM552A,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,ferrari of palm beach,3974 Okeechobee Blvd,West Palm Beach,FL,33409
8b02950b-614f,2C3CDZBT8LH125216,35988,37573,P6389,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,thomasville ford,1515 East Jackson Street,Thomasville,GA,31792
2ef9b556-6630,2C3CDYBT5DH652089,,102557,0704,2013,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,juniors auto group,9971 Alameda Avenue,El Paso,TX,79927
22412e44-0c9f,2C3CDYBT9EH164653,23500,83900,HWHM35454A,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,checkered flag porsche,2865 Virginia Beach Blvd,Virginia Beach,VA,23452
99f9089f-cfaa,2C3CDZBT2HH656368,36000,15379,R5019A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,preferred auto dealerships,810 Robbins Rd,Grand Haven,MI,49417
747921ce-915f,2C3CDZAT7FH715025,27000,64195,DM53707B,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,hendrick honda of easley,4609 Calhoun Memorial Hwy,Easley,SC,29640
449ffdf8-d32c,2C3CDZBT3JH146570,34997,15867,BJH146570,2018,Dodge,Challenger,T/A,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,volkswagen of fort myers,14060 S Tamiami Trl,Fort Myers,FL,33912
304f7648-79e2,2B3LJ54T49H510308,24998,31071,PU02240T,2009,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,dick hannah nissan,19505 Mcloughlin Blvd.,Bechtelsville,PA,19505
f448ec06-4a05,2C3CDZBTXHH531361,27995,55726,60131A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,garlyn shelton nissan,5620 S. General Bruce Dr.,Temple,TX,76502
cebe57d3-673f,2C3CDZBTXKH674995,32699,18912,P14018,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,rocky mount chrysler dodge jeep ram fiat,1340 S Wesleyan Blvd,Rocky Mount,NC,27803
14d14a84-4c25,2C3CDZBT5HH509087,33995,13281,HH509087,2017,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,aloha motors,1303 Ocean St,Santa Cruz,CA,95060
96009cb1-f9b6,2C3CDZBT5HH610596,31500,28856,FP278,2017,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,haley toyota of farmville,1906 S. Main Street,Farmville,VA,23901
1f3bb7da-000d,2C3CDZBT7HH568335,32504,29090,U568335,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,alfa romeo of fort worth,400 West Loop 820 South,Fort Worth,TX,76108
11b1d47a-0cbb,2C3CDZBT8KH750374,33493,16116,,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,stone mountain toyota,4400 Stone Mountain Hwy,Lilburn,GA,30047
26e86ec1-3228,2C3CDZAT7FH715025,,64195,DM53707B,2015,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,rick hendrick cadillac norfolk,6222 East Virginia Beach Blvd.,Norfolk,VA,23502
0bb505aa-2763,2C3CDZBT8JH132020,,28193,UA57602,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,all star hyundai,3950 Century Court,Pittsburg,CA,94565
b4b33c50-2c83,2C3CDZBT2GH250637,35000,12307,M21020A,2016,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,carfare summerville,200 Old Trolley Road,Summerville,SC,29485
93e65c5f-e789,2C3CDZBT8JH260192,36921,42974,2368,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,tom dinsdale chrysler dodge jeep ram,2800 Osborne Drive East,Hastings,NE,68901
b63984d6-1d85,2B3CJ5DT4AH278202,20782,58604,M328381A,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,o'brien hyundai of fort myers,2850 Colonial Blvd,Fort Myers,FL,33966
315169b8-5d67,2C3CDZBT8JH260144,39900,5451,B6206,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,hancock county chrysler dodge jeep ram,845 Washington Street,Newell,WV,26050
f73c527f-65b1,2C3CDZBT6KH551047,28522,11473,HP11557,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,kia optima miami,16600 Nw 57th Ave.,Miami,FL,33014
1a13a3ab-83e6,2C3CDZBT7LH118614,31500,32290,PCD4148,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,grieco automotive group,2850 S Federal Hwy,Delray Beach,FL,33444
90008a85-4a20,2B3CJ5DT6AH141150,,86533,12255A,2010,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,twin city toyota,301 Autumn Ridge Drive,Herculaneum,MO,63048
3575b6f5-729e,2C3CDZBT9KH573737,23950,42671,T573737,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,26 motors corp,4015 Boston Road,Bronx,NY,10466
34ad0c79-d9ee,2C3CDZBT7GH120482,30937,46492,GH12048A,2016,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,lester glenn auto group,386 New Jersey 37 A,Toms River,NJ,08753
ae40c50f-e74a,2C3CDZBT6JH182575,25196,88162,H210224A,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,tameron honda,1675 Montgomery Highway,Birmingham,AL,35216
1fec42be-e2e1,2C3CDZBT8JH182948,38043,15422,1268851,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,deery brothers toyota,200 South Gear Avenue,West Burlington,IA,52655
4f4ca3a7-df9a,2C3CDZBT1HH633888,,39305,202249P,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,edd kirby's adventure chevrolet,1501 W Walnut Avenue,Dalton,GA,30720
f990ae1a-0f0e,2C3CDZBT1GH195730,29897,36000,DTJ10315A,2016,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,mcgonigal buick gmc,2828 E Markland Ave,Kokomo,IN,46901
5d7049cd-628b,2C3CDZBT9KH629417,33992,25447,KH629417,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,sterling mccall nissan,12230 Southwest Fwy,Stafford,TX,77477
a5056db3-cbba,2C3CDZBT0JH199663,37997,18299,P0988W,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,darcars used car & service center of frederick,1040 W. Patrick St,Frederick,MD,21701
3b2b0e3b-a8c4,2C3CDZBT6HH568262,31900,32185,HH568262,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,genesis of lexington,3340 Richmond Road,Lexington,KY,40509
94a999b7-4f15,2C3CDZBT0LH142690,35998,29404,P3953,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,audi northlake,10831 Northlake Auto Plaza Blvd,Charlotte,NC,28269
a3708201-68be,2C3CDZBT4JH259881,38998,2494,H6140,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,hawk subaru,2401 S Rt 59,Plainfield,IL,60586
18c2021d-a1e3,2C3CDZBT1KH612482,40990,23432,PC7254,2019,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,bay cars,622 636 641 W 15th St,Panama City,FL,32401
2925abc6-2ed6,2B3LJ54T89H600917,,,11807Z,2009,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,holiday chrysler dodge jeep,815 S Rolling Meadows Dr,Fond Du Lac,WI,54937
aa0231bb-de86,2C3CDZBT2KH512259,33900,22711,437812A,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,safford automotive group,5208 Jefferson Davis Hwy,Fredericksburg,VA,22408
7cfc8510-d59f,2C3CDYBT5EH225528,23765,57868,XR5819A,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,rick hendrick chevrolet norfolk,6252 E. Virginia Beach Blvd,Norfolk,VA,23502
c888be5b-4b22,2C3CDZBT4JH270959,36230,3349,P2398,2018,Dodge,Challenger,T/A,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,paradise auto & truck center,1001 North Lake Havasu Avenue,Havasu City,AZ,86403
e0145c26-4f32,2C3CDZBT0HH578396,32995,42916,D22060A,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,bert ogden mazda edinburg,4221 South Highway 281,Edinburg,TX,78539
ff8371a7-9ee9,2B3CJ5DT0BH613098,22779,39876,11994P,2011,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,westgate chrysler dodge jeep ram of burgaw,1374 Highway 117 S,Burgaw,NC,28425
0be74010-9fb5,2C3CDZBTXGH232399,26960,85595,P127983A,2016,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,hertrich chevrolet of dover,1450 S Dupont Hwy,Dover,DE,19901
ee4979d1-83d1,2C3CDZBT3LH152548,43350,1171,D557666A,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,fitzgerald subaru,11411 Rockville Pike,Rockville,MD,20852
b069b03a-15a9,2C3CDZBT7LH242740,41995,3527,1U5018A,2020,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,darcars pre-owned fairfax,10620 Fairfax Blvd,Fairfax,VA,22030
5c80aebe-9520,2C3CDZBT5JH131391,,49700,MP4484A,2018,Dodge,Challenger,R/T Plus,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,carizona,1600 W. Main St.,Chandler,AZ,85225
1b7049f8-d101,2C3CDZBT9JH287529,30421,30234,JH287529,2018,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,lithia vip,150 N. Bartlett St.,Medford,OR,97501
1c916ff7-1739,2C3CDZBTXKH513370,29500,43302,10428B,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,"tate dodge chrysler jeep, inc.",7429 Ritchie Hwy,Glen Burnie,MD,21061
d946d97f-2932,2B3LJ54TX9H623700,16791,69377,623700,2009,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,columbia motors,10820 Se Division St,Portland,OR,97266
59640317-22ff,2C3CDYBT3EH149811,24000,38935,R210268A,2014,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Unleaded,5.7,V,courtesy jeep of superstition springs,6428 E Test Dr,Mesa,AZ,85206
bf33d5c8-32b1,2C3CDZBT9HH640605,35605,11507,HH640605PL,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,lithia auto stores,150 North Bartlett,Medford,OR,97501
b747d7a7-0c4f,2C3CDZBT4HH536166,,15352,H536166D,2017,Dodge,Challenger,R/T,Coupe,Car,RWD,Automatic,Premium Unleaded,5.7,V,moore chrysler dodge jeep ram,1305 Highway 96 Byp,Silsbee,TX,77656
2d6bda1b-dcd2,2C3CDZBT3KH550728,33500,28006,PJ6395,2019,Dodge,Challenger,R/T,Coupe,Car,RWD,Manual,Premium Unleaded,5.7,V,albany chrysler dodge jeep ram,701 E. Oglethorpe Blvd,Albany,GA,31705
